examples/c/projects/tp3/out/tp3.elf:1a0023cc 00000032 t gpioPinsInit
examples/c/projects/tp3/out/tp3.elf:100000a8 00000001 b flagFalling.11793
examples/c/projects/tp3/out/tp3.elf:100000a9 00000001 b flagRising.11794
examples/c/projects/tp3/out/tp3.elf:100000ac 00000004 b heap_end.5864
examples/c/projects/tp3/out/tp3.elf:1a002410 00000004 t InitClkStates
examples/c/projects/tp3/out/tp3.elf:1a002414 00000074 t pinmuxing
examples/c/projects/tp3/out/tp3.elf:1a000938 00000044 t Board_LED_Init
examples/c/projects/tp3/out/tp3.elf:1a00097c 00000040 t Board_TEC_Init
examples/c/projects/tp3/out/tp3.elf:1a0009bc 00000040 t Board_GPIO_Init
examples/c/projects/tp3/out/tp3.elf:1a0009fc 00000030 t Board_ADC_Init
examples/c/projects/tp3/out/tp3.elf:1a000a2c 00000038 t Board_SPI_Init
examples/c/projects/tp3/out/tp3.elf:1a000a64 00000024 t Board_I2C_Init
examples/c/projects/tp3/out/tp3.elf:1a00248c 00000008 t GpioButtons
examples/c/projects/tp3/out/tp3.elf:1a002494 0000000c t GpioLeds
examples/c/projects/tp3/out/tp3.elf:1a0024a0 00000012 t GpioPorts
examples/c/projects/tp3/out/tp3.elf:1a000b28 00000014 t Chip_SSP_GetClockIndex
examples/c/projects/tp3/out/tp3.elf:1a000b3c 00000018 t Chip_SSP_GetPeriphClockIndex
examples/c/projects/tp3/out/tp3.elf:10000000 00000038 d i2c
examples/c/projects/tp3/out/tp3.elf:1a000c5c 00000014 t Chip_ADC_GetClockIndex
examples/c/projects/tp3/out/tp3.elf:1a000c70 00000032 t getClkDiv
examples/c/projects/tp3/out/tp3.elf:1a0024b8 00000048 t InitClkStates
examples/c/projects/tp3/out/tp3.elf:1a000e90 000000a0 t pll_calc_divs
examples/c/projects/tp3/out/tp3.elf:1a000f30 0000010c t pll_get_frac
examples/c/projects/tp3/out/tp3.elf:1a00103c 0000004c t Chip_Clock_FindBaseClock
examples/c/projects/tp3/out/tp3.elf:1a0012b0 00000022 t Chip_Clock_GetDivRate
examples/c/projects/tp3/out/tp3.elf:100000b0 00000008 b audio_usb_pll_freq
examples/c/projects/tp3/out/tp3.elf:1a00250c 0000006c t periph_to_base
examples/c/projects/tp3/out/tp3.elf:1a00141c 0000002c t Chip_UART_GetIndex
examples/c/projects/tp3/out/tp3.elf:1a002578 00000008 t UART_BClock
examples/c/projects/tp3/out/tp3.elf:1a002580 00000008 t UART_PClock
examples/c/projects/tp3/out/tp3.elf:100000b8 00000004 b callBackFuncParams
examples/c/projects/tp3/out/tp3.elf:100000c0 00000008 b tickCounter
examples/c/projects/tp3/out/tp3.elf:100000c8 00000004 b tickHookFunction
examples/c/projects/tp3/out/tp3.elf:1a002588 00000048 t lpcUarts
examples/c/projects/tp3/out/tp3.elf:100000cc 00000004 b g_hUsb
examples/c/projects/tp3/out/tp3.elf:1a001ba8 00000048 t std
examples/c/projects/tp3/out/tp3.elf:10000044 00000060 d impure_data
examples/c/projects/tp3/out/tp3.elf:1a002638 t __init_array_end
examples/c/projects/tp3/out/tp3.elf:1a002634 b __preinit_array_end
examples/c/projects/tp3/out/tp3.elf:1a002634 t __init_array_start
examples/c/projects/tp3/out/tp3.elf:1a002634 b __preinit_array_start
examples/c/projects/tp3/out/tp3.elf:1a001f40 00000028 T putchar
examples/c/projects/tp3/out/tp3.elf:1a0010d4 0000001c T Chip_Clock_GetDividerSource
examples/c/projects/tp3/out/tp3.elf:1a0007d4 00000012 T _isatty_r
examples/c/projects/tp3/out/tp3.elf:1a001f68 000000dc T _puts_r
examples/c/projects/tp3/out/tp3.elf:1a0001ba 00000002 W TIMER2_IRQHandler
examples/c/projects/tp3/out/tp3.elf:1a0007e6 0000000a T _lseek_r
examples/c/projects/tp3/out/tp3.elf:1a000184 00000002 W DebugMon_Handler
examples/c/projects/tp3/out/tp3.elf:1a0001ba 00000002 W RIT_IRQHandler
